iter	Passed	Remaining
638	26591	15022
639	26629	14978
640	26669	14936
641	26712	14895
642	26753	14853
643	26795	14812
644	26839	14771
645	26879	14729
646	26920	14687
647	26961	14645
648	27001	14603
649	27039	14559
650	27078	14516
651	27117	14473
652	27157	14431
653	27197	14388
654	27235	14345
655	27272	14301
656	27309	14257
657	27348	14214
658	27388	14172
659	27428	14129
660	27469	14088
661	27512	14047
662	27554	14006
663	27597	13965
664	27639	13923
665	27680	13881
666	27721	13839
667	27762	13797
668	27804	13756
669	27846	13715
670	27887	13673
671	27932	13633
672	27996	13602
673	28044	13564
674	28089	13524
675	28135	13485
676	28174	13442
677	28214	13399
678	28255	13357
679	28296	13316
680	28341	13275
681	28379	13232
682	28421	13191
683	28463	13149
684	28502	13107
685	28549	13067
686	28589	13025
687	28642	12988
688	28682	12946
689	28729	12907
690	28770	12865
691	28812	12823
692	28856	12783
693	28894	12740
694	28935	12698
695	28977	12656
696	29021	12616
697	29062	12574
698	29102	12532
699	29150	12493
700	29194	12452
701	29236	12410
702	29280	12370
703	29329	12331
704	29370	12289
705	29412	12248
706	29453	12206
707	29497	12165
708	29541	12124
709	29585	12084
710	29635	12045
711	29680	12005
712	29724	11964
713	29764	11922
714	29809	11881
715	29852	11840
716	29896	11800
717	29945	11761
718	29994	11722
719	30037	11681
720	30082	11640
721	30135	11603
722	30179	11562
723	30228	11523
724	30285	11487
725	30335	11448
726	30387	11410
727	30436	11371
728	30486	11333
729	30533	11293
730	30580	11253
731	30625	11212
732	30670	11171
733	30718	11132
734	30770	11094
735	30822	11055
736	30869	11015
737	30916	10975
738	30964	10935
739	31008	10894
740	31052	10853
741	31098	10813
742	31144	10772
743	31192	10732
744	31239	10692
745	31282	10651
746	31326	10610
747	31369	10568
748	31412	10526
749	31454	10484
750	31494	10442
751	31536	10400
752	31577	10358
753	31616	10315
754	31657	10272
755	31697	10230
756	31737	10187
757	31775	10144
758	31813	10101
759	31852	10058
760	31893	10016
761	31932	9973
762	31971	9930
763	32009	9887
764	32047	9844
765	32086	9801
766	32125	9759
767	32176	9719
768	32221	9679
769	32266	9638
